url1,url2,label
https://edition.cnn.com/2026/04/08/world/live-news/iran-war-trump-us-ceasefire,https://www.bbc.com/news/articles/cwyvp55xrlro,yes
https://edition.cnn.com/2026/04/08/world/live-news/iran-war-trump-us-ceasefire,https://www.bbc.com/news/articles/c79jqx1xdy9o,no
https://www.thenews.com.pk/latest/1398191-greece-to-impose-social-media-ban-for-children-under-15,https://www.bbc.com/news/articles/ckgx1x742x5o,yes
https://www.bbc.com/news/articles/c4gxk3kxjr0o,https://edition.cnn.com/2026/04/07/entertainment/kanye-west-wireless-festival-statement-scli-intl,yes
https://www.bbc.com/news/articles/c4gxk3kxjr0o,https://www.dailymail.co.uk/tvshowbiz/article-15708949/kanye-west-wife-bianca-censori-tiny-string-sequin-bikini-instagram.html,no
https://edition.cnn.com/2026/04/07/entertainment/kanye-west-wireless-festival-statement-scli-intl,https://www.dailymail.co.uk/tvshowbiz/article-15708949/kanye-west-wife-bianca-censori-tiny-string-sequin-bikini-instagram.html,no
https://eu.usatoday.com/story/entertainment/music/2026/04/07/lady-gaga-cancels-concert-montreal-respiratory-infection/89496147007/,https://edition.cnn.com/2026/04/07/entertainment/kanye-west-wireless-festival-statement-scli-intl,no
https://www.thenationalnews.com/news/europe/2026/04/07/two-french-citizens-returning-home-after-years-of-detention-in-iran/,https://www.bbc.com/news/articles/clyxk5640wko,yes
https://edition.cnn.com/2026/04/07/markets/us-stocks-oil-trump-iran-ceasefire,https://www.bbc.com/news/articles/c8r40y3rv75o,yes
https://gulfnews.com/business/aviation/jet-fuel-crisis-deepens-airlines-cancel-flights-raise-fares-as-global-supply-tightens-1.500498098,https://www.bbc.com/news/articles/c87w4x0n3j0o,yes
https://www.bbc.com/news/articles/c87w4x0n3j0o,https://www.cnbc.com/2026/04/07/iran-war-jet-fuel-airlines.html,yes
https://www.cnbc.com/2026/04/07/iran-war-jet-fuel-airlines.html,https://www.cnbc.com/2026/04/08/delta-air-lines-q1-2026-earnings.html,no
